point,SiteReference,Hectares,Dwellings,Council,PermissionDate,PlanningStatus,Address,longitude,latitude
POINT(0.200861 52.186178),S/0670/17/OL,27.0,203.0,,2019-11-09,permissioned,"Ida Darwin Hospital, Fulbourn Old Drift, Fulbourn, Cambridge, Cambridgeshire, CB21 5EE",0.200861,52.186178
POINT(0.125076 52.161239),S/1781/19/FL,0.14,4.0,,2019-10-31,permissioned,"150, Cambridge Road, Great Shelford, Cambridge, Cambridgeshire, CB22 5JU",0.125076,52.161239
POINT(0.04637 52.311537),S/0588/19/RM,0.79,0.0,,2019-10-17,permissioned,"Alwyn Tourist Park, Willingham Road, Willingham, Cambridge, Cambridgeshire, CB24 5EU",0.04637,52.311537
POINT(0.145427 52.202522),19/0288/FUL,3.0,295.0,,2019-10-16,permissioned,Development Land At 75 Cromwell Road Cambridge Cambridgeshire,0.145427,52.202522
POINT(0.105649 52.196306),18/1993/FUL,0.71,9.0,,2019-10-14,permissioned,Land Between 21 And 29 Barton Road (including 27 Barton Road And Croft Gardens).,0.105649,52.196306
POINT(0.13548 52.21513),19/0819/OUT,0.05,7.0,,2019-10-11,permissioned,51 - 55 Elizabeth Way Cambridge Cambridgeshire CB4 1DB,0.13548,52.21513
POINT(0.116327 52.219017),19/0261/FUL,0.22,10.0,,2019-10-11,permissioned,74-82 Akeman Street Cambridge Cambridgeshire CB4 3HG,0.116327,52.219017
POINT(-0.072321 52.111497),S/1877/19/RM,0.87,10.0,,2019-10-10,permissioned,"Former Monkfield Nutrition Site, Shingay-cum-Wendy, Royston, Herts, SG8 0HJ",-0.072321,52.111497
POINT(0.139798 52.153886),S/2754/19/FL,0.1,6.0,,2019-10-07,permissioned,"Garages, Macaulay Avenue, Great Shelford, Cambridge, CB22 5AE",0.139798,52.153886
POINT(0.037053 52.135195),S/1427/19/RM,7.87,220.0,,2019-09-23,permissioned,"Barrington Cement Plant, Haslingfield Road, Barrington, Cambridge, Cambridgeshire, CB22 7RQ",0.037053,52.135195
POINT(0.109422 52.242924),S/2010/17/OL,0.46,32.0,,2019-09-11,permissioned,"Station Road Garage, Station Yard, Station Road, Histon, Cambridge, CB24 9LF",0.109422,52.242924
POINT(0.109422 52.242924),S/LocalPlan/E/8 | 2010/17/OL,0.46,32.0,,2019-09-11,not-permissioned,"Station Road Garage, Station Yard, Station Road, Histon, Cambridge, CB24 9LF",0.109422,52.242924
POINT(-0.020168 52.173118),S/1502/19/FL,0.71,0.0,,2019-08-30,permissioned,"Armshold Farm, Tinkers Lane, Kingston, CB23 1HT",-0.020168,52.173118
POINT(0.13079 52.204001),19/0421/FUL,0.04,9.0,,2019-08-28,permissioned,Warkworth Lodge Warkworth Terrace Cambridge Cambridgeshire CB1 1EG,0.13079,52.204001
POINT(-0.015243 52.07174),S/2175/19/FL,1.21,0.0,,2019-08-22,permissioned,"Westfield Orchard, Old North Road, Bassingbourn Cum Kneesworth, Royston, Cambridgeshire, SG8 5JS",-0.015243,52.07174
POINT(0.142995 52.179061),18/0806/FUL,0.21,13.0,,2019-08-16,permissioned,291 Hills Road Cambridge CB2 8RP,0.142995,52.179061
POINT(-0.02952 52.197472),S/3261/18/FL,1.27,0.0,,2019-08-15,permissioned,"Clare Cottage, Main Street, Caldecote, Cambridge, Cambridgeshire, CB23 7NU",-0.02952,52.197472
POINT(0.141067 52.200119),17/2245/FUL | 18/1947/S73 | 19/0175/FUL,2.17,236.0,,2019-08-14,permissioned,Mill Road Depot Mill Road Cambridge CB1 2AZ,0.141067,52.200119
POINT(0.140616 52.199264),19/0175/FUL,0.31,50.0,,2019-08-14,permissioned,Mill Road Depot Mill Road Cambridge Cambridgeshire CB1 2AZ,0.140616,52.199264
POINT(0.141067 52.200119),17/2245/FUL | 18/1947/S73,1.86,186.0,,2019-08-14,permissioned,Mill Road Depot Mill Road Cambridge CB1 2AZ,0.141067,52.200119
POINT(0.146767 52.218477),18/1826/FUL,0.08,3.0,,2019-08-09,permissioned,43 - 47 Water Street Cambridge Cambridgeshire CB4 1NZ,0.146767,52.218477
POINT(0.161217 52.212161),19/0767/B1C3,0.08,11.0,,2019-07-29,permissioned,Chartwell House 620 - 622 Newmarket Road Cambridge Cambridgeshire CB5 8LP,0.161217,52.212161
POINT(0.161217 52.212161),19/0767/B1C3 | 21/04350/FUL,0.08,11.0,,2019-07-29,permissioned,Chartwell House 620 - 622 Newmarket Road Cambridge Cambridgeshire CB5 8LP,0.161217,52.212161
POINT(0.159449 52.182942),18/1470/FUL,0.28,11.0,,2019-07-17,permissioned,9-10A Ventress Close Cambridge Cambridgeshire CB1 8QX,0.159449,52.182942
POINT(-0.13826 52.175688),S/1463/19/FL,1.02,0.0,,2019-07-04,permissioned,"26, Main Road, Little Gransden, Sandy, Cambridgeshire, SG19 3DN",-0.13826,52.175688
POINT(0.312564 52.274426),BLR0510,4.7,91.0,,2019-07-01,permissioned,Stanford Park Weirs Drove Burwell Cambridge CB25 0BP,0.312564,52.274426
POINT(0.280406 52.098718),S/0736/19/OL,0.28,2.0,,2019-07-01,permissioned,"41, Back Road, Linton, Cambridge, Cambridgeshire, CB21 4LG",0.280406,52.098718
POINT(0.11386 52.199144),18/1807/FUL,0.03,7.0,,2019-06-18,permissioned,India House 31 Newnham Road Cambridge Cambridgeshire CB3 9EY,0.11386,52.199144
POINT(0.11864 52.340844),BLR1212,0.3,,,2019-06-18,permissioned,2 School Lane Aldreth Ely Cambridgeshire CB6 3PL,0.11864,52.340844
POINT(0.196498 52.273923),S/3865/17/FL,0.32,16.0,,2019-06-17,permissioned,"Land at the corner of Capper and Cody Ro, Lancaster & Walmington House, Capper Road, Waterbeach, CB25 9LY",0.196498,52.273923
POINT(0.021135 52.07792),S/2424/18/FL,0.66,21.0,,2019-05-17,permissioned,"36, New Road, Melbourn, Royston, Cambridgeshire, SG8 6BY",0.021135,52.07792
POINT(0.121907 52.187436),19/0248/FUL,0.49,1.0,,2019-05-03,permissioned,Meadowcroft House 16 Trumpington Road Cambridge CB2 8EX,0.121907,52.187436
POINT(0.120272 52.213336),18/1684/FUL,0.02,6.0,,2019-05-01,permissioned,Carlyle Lodge 71A Chesterton Road Cambridge CB4 3AN,0.120272,52.213336
POINT(0.107602 52.216871),18/0907/FUL,0.11,9.0,,2019-04-09,permissioned,50 St Stephens Place And 51 Canterbury Street Cambridge CB3 0JE,0.107602,52.216871
POINT(-0.089288 52.117061),S/0601/19/FL,0.26,1.0,,2019-04-08,permissioned,"Brickyard Farm, Lower Road, Croydon, Royston, SG8 0HA",-0.089288,52.117061
POINT(0.193385 52.26489),S/0193/19/FL,0.23,9.0,,2019-03-29,permissioned,"Land to the rear of 10A, Rosemary Road, Waterbeach, Cambridge, Cambridgeshire, CB25 9NB",0.193385,52.26489
POINT(0.380494 52.159751),S/4528/18/FL,0.58,4.0,,2019-03-26,permissioned,"Scrap Yard, Willingham Green Road, Carlton, Cambridgeshire CB8 0SW",0.380494,52.159751
POINT(-0.066082 52.112582),S/4827/18/FL,0.78,0.0,,2019-02-22,permissioned,"Sunavon, High Street, Shingay Cum Wendy, Royston, Cambridgeshire, SG8 0HH",-0.066082,52.112582
POINT(0.104926 52.196507),18/1150/FUL,0.06,9.0,,2019-02-08,permissioned,31 Barton Road Cambridge CB3 9LB,0.104926,52.196507
POINT(0.10169 52.22096),18/1637/FUL,0.16,4.0,,2019-02-08,permissioned,1 Grosvenor Court Cambridge CB3 0HU,0.10169,52.22096
POINT(0.153623 52.158023),S/4707/18/FL,0.26,1.0,,2019-02-08,permissioned,"197 , Hinton Way, Great Shelford, Cambridge, CB22 5AN",0.153623,52.158023
POINT(0.051224 52.183767),S/4331/18/OL,0.27,2.0,,2019-01-25,permissioned,"15, Comberton Road, Barton, Cambridge, Cambridgeshire, CB23 7BA",0.051224,52.183767
POINT(0.334066 52.331554),BLR2305,0.96,4.0,,2019-01-18,permissioned,Milbrook House 50 Lode Close Soham Ely Cambridgeshire CB7 5WN,0.334066,52.331554
POINT(0.164185 52.222609),S/3280/18/FL,0.38,0.0,,2019-01-18,permissioned,"The Black House, Chesterton Fen Road, MILTON, CB4 1UN",0.164185,52.222609
POINT(-0.045135 52.09695),S/4194/18/FL,0.38,0.0,,2018-12-31,permissioned,"Taunus, Old North Road, Whaddon, ROYSTON, SG8 5SR",-0.045135,52.09695
POINT(0.217129 52.104664),S/3755/18/FL,0.41,1.0,,2018-12-21,permissioned,"26, South Road, Abington, CAMBRIDGE, CB21 6AU",0.217129,52.104664
POINT(0.197517 52.270802),S/2434/18/FL,0.27,1.0,,2018-12-14,permissioned,"The Six Bells, 9, High Street, FULBOURN, CB21 5DH",0.197517,52.270802
POINT(0.190181 52.201645),S/2454/18/FL,0.12,3.0,,2018-12-13,permissioned,"Numbers 1 and 3, Pembroke Way, Teversham, CAMBRIDGE, CB1 9AD",0.190181,52.201645
POINT(0.191418 52.186929),S/3404/17/FL,0.29,10.0,,2018-11-28,permissioned,"Land off Fulbourn Old Drift, Fulbourn, CAMBRIDGESHIRE, CB1 9BF",0.191418,52.186929
POINT(0.082469 52.234159),S/1590/18/FL,0.3,8.0,,2018-11-27,permissioned,"39, Pepys Way, Girton, CAMBRIDGE, CB3 0PA",0.082469,52.234159
POINT(0.124483 52.161681),S/2175/18/FL,0.08,4.0,,2018-11-22,permissioned,"160, Cambridge Road, Great Shelford, CAMBRIDGE, CB22 5JU",0.124483,52.161681
POINT(0.007732 52.089821),S/1502/17/FL,0.57,22.0,,2018-11-19,permissioned,"Former GoCold Building, Station Yard, High Street, MELDRETH, SG8 6JR",0.007732,52.089821
POINT(0.096215 52.222208),18/1451/B1C3,0.58,71.0,,2018-11-08,permissioned,National Institute Of Agricultural Botany Huntingdon Road Cambridge Cambridgeshire CB3 0LE,0.096215,52.222208
POINT(0.164969 52.211939),C/LocalPlan/R6,1.01,75.0,,2018-10-18,not-permissioned,"636-656 Newmarket Road, Holy Cross Church Hall, East Barnwell Community Centre and Meadowlands, Newmarket Road",0.164969,52.211939
POINT(0.158584 52.217317),C/LocalPlan/R5,0.85,35.0,,2018-10-18,not-permissioned,Camfields Resource Centre and Oil Depot 137-139 Ditton Walk,0.158584,52.217317
POINT(0.144142 52.188904),C/LocalPlan/R8,0.75,33.0,,2018-10-18,not-permissioned,"149 Cherry Hinton Road and Telephone Exchange, Coleridge Road",0.144142,52.188904
POINT(0.153495 52.197465),C/LocalPlan/R21,2.3,78.0,,2018-10-18,not-permissioned,315-349 Mill Road and Brookfields,0.153495,52.197465
POINT(0.118535 52.1756),C/LocalPlan/R16,1.49,67.0,,2018-10-18,not-permissioned,"Cambridge Professional Development Centre, Foster Road",0.118535,52.1756
POINT(0.120315 52.18135),C/LocalPlan/R14,2.01,76.0,,2018-10-18,not-permissioned,"British Telecom, Long Road",0.120315,52.18135
POINT(0.157892 52.201243),C/LocalPlan/R11,0.82,40.0,,2018-10-18,not-permissioned,"Horizon Resource Centre, 285 Coldham's Lane",0.157892,52.201243
POINT(0.129716 52.195334),C/LocalPlan/M5,0.5,20.0,,2018-10-18,not-permissioned,82-88 Hills Road and 57-63 Bateman Street,0.129716,52.195334
POINT(0.138677 52.192394),C/LocalPlan/M2,9.43,550.0,,2018-10-18,not-permissioned,Clifton Road Area,0.138677,52.192394
POINT(0.136736 52.199524),18/1365/B1C3,0.04,6.0,,2018-10-18,permissioned,"23, Tenison Road, CAMBRIDGE, CB1 2DG",0.136736,52.199524
POINT(0.136901 52.23253),18/0765/FUL,0.08,5.0,,2018-10-09,permissioned,"Garage Block, Markham Close, CAMBRIDGE, CB4 2PX",0.136901,52.23253
POINT(0.131268 52.190154),18/0768/FUL,0.06,6.0,,2018-10-08,permissioned,"21-25, Fitzwilliam Road, CAMBRIDGE, CB2 8BN",0.131268,52.190154
POINT(0.177806 52.131088),S/LocalPlan/H1a,3.7,80.0,,2018-09-27,not-permissioned,"Dales Manor Business Park, Sawston (Policy H/1a)",0.177806,52.131088
POINT(-0.036631 52.21177),S/LocalPlan/SS7,171.8,3500.0,,2018-09-27,not-permissioned,Bourn Airfield New Village (Policy SS/7),-0.036631,52.21177
POINT(0.184577 52.28159),S/0559/17/OL,265.8,6500.0,,2018-09-27,permissioned,"Waterbeach Barracks and Airfield Site, Waterbeach, Cambridgeshire",0.184577,52.28159
POINT(0.159137 52.226878),18SC0010,10.7,200.0,,2018-09-27,not-permissioned,"Former Marley Tiles Site, Dales Manor Business Park, Sawston",0.159137,52.226878
POINT(0.003816 52.094285),S/0241/18/FL,0.31,8.0,,2018-09-21,permissioned,"70, Whitecroft Road, Meldreth, ROYSTON, SG8 6LS",0.003816,52.094285
POINT(0.287194 52.097831),S/0793/18/FL,0.28,6.0,,2018-09-14,permissioned,"1, Horseheath Road, Linton, CAMBRIDGE, CB21 4LU",0.287194,52.097831
POINT(-0.001752 52.11605),S/2559/18/FL,0.97,1.0,,2018-08-30,permissioned,"Former Golf Club House, Malton Golf Course, Malton Lane, Meldreth, ROYSTON, SG8 6PE",-0.001752,52.11605
POINT(0.014502 52.316617),S/1224/18/FL,0.24,5.0,,2018-08-15,permissioned,"45, High Street, Over, CAMBRIDGE, CB24 5NB",0.014502,52.316617
POINT(0.164672 52.104893),S/0746/15/OL,1.17,59.0,,2018-08-14,permissioned,"Lion Works, Station Road, Whittlesford, CAMBRIDGE, CB22 4WL",0.164672,52.104893
POINT(0.38102 52.30873),BLR1101,8.66,0.0,,2018-08-08,permissioned,"Scotsdale Garden Centre, Market Street, Fordham, CB7 5LQ",0.38102,52.30873
POINT(0.110914 52.262312),S/1615/18/FL | 20/01600/FUL,0.27,1.0,,2018-08-07,permissioned,"Land at Rear of 130, Cottenham Road, Histon, CAMBRIDGE, CB24 9ET",0.110914,52.262312
POINT(0.110914 52.262312),S/1615/18/FL,0.27,1.0,,2018-08-07,permissioned,"Land at Rear of 130, Cottenham Road, Histon, CAMBRIDGE, CB24 9ET",0.110914,52.262312
POINT(0.008667 52.161309),S/1994/18/FL,0.48,1.0,,2018-07-18,permissioned,"Church Farm, Church Lane, Little Eversden, CAMBRIDGE, CB23 1HQ",0.008667,52.161309
POINT(0.220686 52.183864),S/1524/18/FL,0.07,1.0,,2018-07-05,permissioned,"2, Pierce Lane, Fulbourn, CAMBRIDGE, CB21 5DL",0.220686,52.183864
POINT(0.152056 52.146134),18SC0002,0.23,35.0,,2018-06-27,permissioned,"The Bishops Site, Cambridge Road, IMPINGTON, CB24 9NU",0.152056,52.146134
POINT(0.110112 52.242013),S/0671/17/FL,0.23,35.0,,2018-06-27,permissioned,"Old Station Yard, Cambridge Road, IMPINGTON, CB24 9NU",0.110112,52.242013
POINT(-0.06611 52.112562),18SC0008,0.25,11.0,,2018-06-15,permissioned,"39 Pepys Way, Girton, Cambridge, Cambridgeshire, CB3 0PA",-0.06611,52.112562
POINT(0.065488 52.258227),18SC0005,0.48,1.0,,2018-06-08,permissioned,"56, High Street, Landbeach, Cambridge, Cambridgeshire, CB25 9FT",0.065488,52.258227
POINT(0.268026 52.397858),BLR1036,0.14,20.0,,2018-06-04,permissioned,Alexander House 38 Forehill Ely Cambridgeshire,0.268026,52.397858
POINT(-0.016814 52.218291),S/3273/16/OL,0.73,2.0,,2018-05-31,permissioned,"Childerley Gate Filling Station, St. Neots Road, Dry Drayton, CAMBRIDGE, CB23 8AY",-0.016814,52.218291
POINT(0.15504 52.200971),17/1272/FUL,0.34,13.0,,2018-05-22,permissioned,"Land At 300 - 314, Coldhams Lane, CAMBRIDGE, CB1 3HN",0.15504,52.200971
POINT(0.110121 52.242493),18SC0006,0.11,5.0,,2018-05-21,permissioned,"2-4 Water Lane, OAKINGTON AND WESTWICK, CB24 3AL",0.110121,52.242493
POINT(0.065516 52.25825),S/1250/18/FL,0.1,4.0,,2018-05-21,permissioned,"2-4, Water Lane, Oakington, CAMBRIDGE, CB24 3AL",0.065516,52.25825
POINT(-0.082006 52.064427),18SC0003,0.17,12.0,,2018-05-15,permissioned,"Former station site including derelict Histon & Impington Railway Station, 94-96 Station Road, Impington, Cambridge, CB24 9NP",-0.082006,52.064427
POINT(0.110179 52.242515),S/0783/17/FL,0.15,12.0,,2018-05-15,permissioned,"Former station site including derelict Histon & Impington Railway Station, 94-96, Station Road, Impington, CAMBRIDGE, CB24 9NP",0.110179,52.242515
POINT(0.130522 52.214913),17/0970/FUL,0.3,14.0,,2018-05-02,permissioned,"St Regis And 108 Chesterton Road, St Regis House 47 Hamilton Road, St. Regis, CAMBRIDGE, CB4 1BY",0.130522,52.214913
POINT(0.170712 52.183823),17/1757/FUL,0.13,9.0,,2018-05-01,permissioned,"283, Queen Ediths Way, CAMBRIDGE, CB1 9NH",0.170712,52.183823
POINT(0.384087 52.39097),BLR1301,0.25,,,2018-04-30,permissioned,Larkhall Farm 38 Prickwillow Road Isleham Ely Cambridgeshire CB7 5RH,0.384087,52.39097
POINT(0.151837 52.186183),17/1615/FUL,0.07,5.0,,2018-04-27,permissioned,"156-158, Mowbray Road, CAMBRIDGE, CB1 7TG",0.151837,52.186183
POINT(0.082355 52.234175),18SC0007,0.36,6.0,,2018-04-24,permissioned,"Burnt Farm, High Street, Harlton, Cambridgeshire, CB23 1ES",0.082355,52.234175
POINT(0.224492 52.345608),BLR2501,0.52,9.0,,2018-04-18,permissioned,Former Haulage Yard Newmarket Road Stretham Cambridgeshire,0.224492,52.345608
POINT(-0.081991 52.064465),S/2927/17/FL,0.19,0.0,,2018-04-18,permissioned,"Sheen Farm, Royston Road, Litlington, ROYSTON, SG8 0RH",-0.081991,52.064465
POINT(-0.145204 52.178455),18SC0001,0.25,1.0,,2018-04-13,permissioned,"Land to the side of Willow Tree House, Church Street, Little Gransden, Sandy, SG193DU",-0.145204,52.178455
POINT(-0.051637 52.290538),18SC0009,0.3,2.0,,2018-04-06,permissioned,"33, Bar Lane, Stapleford, Cambridge, Cambridgeshire, CB22 5BJ",-0.051637,52.290538
POINT(0.152057 52.146173),S/4426/17/FL,0.29,2.0,,2018-04-06,permissioned,"33, Bar Lane, Stapleford, CAMBRIDGE, CB22 5BJ",0.152057,52.146173
POINT(-0.119001 52.247923),18SC0016,0.57,15.0,,2018-03-29,permissioned,"Plumbs Dairy, 107, High Street, BALSHAM, CB21 4EP",-0.119001,52.247923
POINT(0.159445 52.242276),18SC0013,0.11,5.0,,2018-03-19,permissioned,"2, Cambridge Road, MILTON, CB24 6AW",0.159445,52.242276
POINT(0.136324 52.193992),15/1759/FUL,0.38,89.0,,2018-03-08,permissioned,Murdoch House 40 - 44 Station Road And Remains Of Former Silo Associated With Fosters Mill Cambridge Cambridgeshire CB1 2JH,0.136324,52.193992
POINT(0.022913 52.316943),18SC0024,0.96,4.0,,2018-03-01,permissioned,"Land off Fen End, Over, CAMBRIDGE, CB24 5NE",0.022913,52.316943
POINT(0.022954 52.316967),S/2577/17/FL,0.14,4.0,,2018-03-01,permissioned,"Land off Fen End, Over, CAMBRIDGE, CB24 5NE",0.022954,52.316967
POINT(0.109053 52.245952),S/2697/17/FL,0.05,2.0,,2018-02-21,permissioned,"66 - 68, Station Road, HISTON, CB24 9LF",0.109053,52.245952
POINT(0.37671 52.075521),S/4579/17/FL,0.83,1.0,,2018-02-13,permissioned,"The Oaks, Blacksmiths Lane, Shudy Camps, CAMBRIDGE, CB21 4RH",0.37671,52.075521
POINT(0.376577 52.075485),18SC0031,0.83,1.0,,2018-02-13,permissioned,"The Oaks, Blacksmiths Lane, Shudy Camps, CAMBRIDGE, CB21 4RH",0.376577,52.075485
POINT(0.311004 52.132182),18SC0030,1.24,1.0,,2018-02-12,permissioned,"97, High Street, Balsham, CAMBRIDGE, CB21 4EP",0.311004,52.132182
POINT(0.311005 52.132213),S/4477/17/FL,1.24,1.0,,2018-02-12,permissioned,"97, High Street, Balsham, CAMBRIDGE, CB21 4EP",0.311005,52.132213
POINT(-0.000605 52.089117),S/3529/16/OL,0.4,6.0,,2018-02-02,permissioned,"Scrapyard, Chiswick End, Meldreth, ROYSTON, SG8 6LZ",-0.000605,52.089117
POINT(0.124879 52.160438),18SC0023,0.09,5.0,,2018-01-19,permissioned,"129, Cambridge Road, Great Shelford, CAMBRIDGE, CB22 5JJ",0.124879,52.160438
POINT(0.009914 52.155551),S/1331/17/FL,0.34,1.0,,2018-01-18,permissioned,"16, Harlton Road, Little Eversden, CAMBRIDGE, CB23 1HB",0.009914,52.155551
POINT(0.282041 52.237877),BLR2701,0.52,0.0,,2018-01-18,permissioned,Hillside Mill Quarry Ln Swaffham Bulbeck Cambridge CB25 0LU,0.282041,52.237877
POINT(-0.044486 52.081714),18SC0022,0.97,6.0,,2018-01-15,permissioned,"Land located north of 131, The Causeway, Bassingbourn, ROYSTON, SG8 5JB",-0.044486,52.081714
POINT(-0.04422 52.081819),S/2253/16/RM,0.25,6.0,,2018-01-15,permissioned,"Land located north of 131, The Causeway, Bassingbourn, ROYSTON, SG8 5JB",-0.04422,52.081819
POINT(0.159392 52.179967),17/1626/FUL,0.07,4.0,,2018-01-11,permissioned,"130, Queen Ediths Way, CAMBRIDGE, CB1 8NW",0.159392,52.179967
POINT(0.147512 52.19752),17/1527/FUL,0.17,14.0,,2017-12-20,permissioned,"Cambridge Carpets, 213, Mill Road, CAMBRIDGE, CB1 3BE",0.147512,52.19752
POINT(0.030063 52.262282),S/2894/17/FL,0.51,0.0,,2017-12-18,permissioned,"Land at Hazlewell Farm, Bar Road, Longstanton, CAMBRIDGE, CB23 8DS",0.030063,52.262282
POINT(0.030048 52.262196),18SC0027,0.51,2.0,,2017-12-18,permissioned,"Land at Hazlewell Farm, Bar Road, Lolworth, CAMBRIDGE, CB23 8DS",0.030048,52.262196
POINT(0.462467 52.211755),BLR0601,0.512696,0.0,,2017-12-06,permissioned,"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",0.462467,52.211755
POINT(0.1594 52.217544),15/1020/FUL,0.35,14.0,,2017-11-29,permissioned,"5, Abbey Gardens Ditton Walk, CAMBRIDGE, CB5 8EH",0.1594,52.217544
POINT(0.339699 52.332447),BLR2302,0.18,0.0,,2017-11-15,permissioned,90 Paddock Street Soham Ely Cambridgeshire CB7 5JA,0.339699,52.332447
POINT(0.351475 52.33557),BLR2303,1.34,0.0,,2017-11-15,not-permissioned,Eastern Gateway East Fen Common Soham Ely CB7 5JJ,0.351475,52.33557
POINT(0.144046 52.227023),17/1282/FUL,0.05,4.0,,2017-11-02,permissioned,"339, Milton Road, CAMBRIDGE, CB4 1XL",0.144046,52.227023
POINT(0.119984 52.184521),17/0826/FUL,0.26,0.0,,2017-10-24,permissioned,"2, Barrow Road, CAMBRIDGE, CB2 8AS",0.119984,52.184521
POINT(0.380448 52.159432),18SC0025,1.08,2.0,,2017-10-16,permissioned,"Gowing Auto's, Willingham Green Road, Brinkley, NEWMARKET, CB8 0SW",0.380448,52.159432
POINT(0.088115 52.213702),17/0172/FUL,0.3,14.0,,2017-10-11,permissioned,"36, Madingley Road, CAMBRIDGE, CB3 0EX",0.088115,52.213702
POINT(0.137316 52.229591),17/0927/FUL,0.1,9.0,,2017-10-06,permissioned,"Jenny Wren, St. Kilda Avenue, CAMBRIDGE, CB4 2QA",0.137316,52.229591
POINT(0.241715 52.24275),BLR1904,0.27,1.0,,2017-10-02,permissioned,15 Station Road Lode Cambridge CB25 9HB,0.241715,52.24275
POINT(0.155498 52.187752),5.02,2.8,123.0,,2017-09-20,not-permissioned,"The Paddocks Trading Estate, Cherry Hinton Road",0.155498,52.187752
POINT(0.482604 52.224912),BLR0103,0.8065,8.0,,2017-09-19,permissioned,28 High Street Ashley Newmarket Suffolk CB8 9DX,0.482604,52.224912
POINT(0.136178 52.207708),14/1905/FUL,0.49,80.0,,2017-09-13,permissioned,"64-68, Newmarket Road, CAMBRIDGE, CB5 8DZ",0.136178,52.207708
POINT(0.092383 52.153079),18SC0014,0.87,10.0,,2017-09-12,permissioned,"26, South End, BASSINGBOURN CUM KNEESWORTH, SG8 5NJ",0.092383,52.153079
POINT(-0.058914 52.076163),S/0331/15/FL,0.87,10.0,,2017-09-12,permissioned,"26, South End, BASSINGBOURN CUM KNEESWORTH, SG8 5NJ",-0.058914,52.076163
POINT(0.260304 52.222576),BLR0201,0.11,0.0,,2017-09-03,not-permissioned,74-76 Beechwood Avenue Bottisham Cambridge CB25 9DB,0.260304,52.222576
POINT(0.146675 52.219611),17/1023/FUL,0.05,5.0,,2017-08-30,permissioned,"207, Green End Road, CAMBRIDGE, CB4 1RJ",0.146675,52.219611
POINT(0.157552 52.220797),16/0617/FUL,0.42,13.0,,2017-08-21,permissioned,"Haling House, Fen Road, CAMBRIDGE, CB4 1UN",0.157552,52.220797
POINT(0.161755 52.41631),BLR0803,0.41,4.0,,2017-08-21,permissioned,Vine Leigh Farm 33 Main Street Wardy Hill CB6 2DF,0.161755,52.41631
POINT(0.079958 52.137743),18SC0019,0.26,2.0,,2017-08-17,permissioned,"21, High Street, HARSTON, CB22 7PX",0.079958,52.137743
POINT(0.35902 52.223675),BLR2402,0.373,1.0,,2017-08-09,permissioned,Newmarket Equine Hospital Cambridge Road Newmarket Suffolk CB8 0FG,0.35902,52.223675
POINT(0.266819 52.398321),BLR1002,0.095662,0.0,,2017-08-08,permissioned,"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",0.266819,52.398321
POINT(-0.05932 52.076195),18SC0017,1.76,53.0,,2017-08-04,permissioned,"Land between Church Lane and Ermine Street South, Church Lane, Papworth Everard, CAMBRIDGE, CB23 3QN",-0.05932,52.076195
POINT(0.129697 52.197079),17/0265/FUL,0.03,10.0,,2017-07-17,permissioned,"23 And 25, Hills Road, CAMBRIDGE, CB2 1NW",0.129697,52.197079
POINT(0.169559 52.182335),17/0260/FUL,0.36,1.0,,2017-07-07,permissioned,Land to the Rear of 268 Queen Edith's Way,0.169559,52.182335
POINT(0.108426 52.212936),16/1864/FUL,2.93,0.0,,2017-07-07,permissioned,"St. Edmund's College, CAMBRIDGE, CB3 0BN",0.108426,52.212936
POINT(0.131268 52.230871),16/1364/FUL,0.31,7.0,,2017-07-06,permissioned,"Garage Block 1-20, Cameron Road and Land Adjacent to Nos. 33 And 45 Nuns Way",0.131268,52.230871
POINT(0.38341 52.305733),Site/11/28,0.26,9.0,,2017-07-03,permissioned,"Fordham Technology Centre, 5 Station Road, Fordham, Ely, Cambridgeshire CB7 5LW",0.38341,52.305733
POINT(-0.202533 52.148982),S/1075/17/FL,0.26,0.0,,2017-06-23,permissioned,"16, Little Heath, Gamlingay, SANDY, SG19 3LL",-0.202533,52.148982
POINT(0.190736 52.387349),BLR3421,0.2068,5.0,,2017-06-21,permissioned,Land Adjacent 204 Main Street Witchford CB6 2HT,0.190736,52.387349
POINT(-0.024611 52.206134),18SC0026,0.24,7.0,,2017-06-06,permissioned,"Land Adjoining 6, Highfields Road, Highfields Caldecote, CAMBRIDGE, CB23 7NX",-0.024611,52.206134
POINT(-0.138226 52.181046),S/3507/16/FL,0.32,2.0,,2017-05-04,permissioned,"6, Primrose Hill, Little Gransden, SANDY, SG19 3DP",-0.138226,52.181046
POINT(0.136592 52.18736),16/2248/FUL,0.08,2.0,,2017-05-02,permissioned,"174, Hills Road, CAMBRIDGE, CB2 8PQ",0.136592,52.18736
POINT(0.13591 52.215544),16/2249/FUL,0.03,6.0,,2017-04-28,permissioned,"56, Elizabeth Way, CAMBRIDGE, CB4 1EE",0.13591,52.215544
POINT(0.318797 52.13086),18SC0021,0.83,33.0,,2017-04-24,permissioned,"7, High Street, BALSHAM, CB21 4DJ",0.318797,52.13086
POINT(0.129279 52.221383),16/1970/FUL,0.16,4.0,,2017-04-11,permissioned,"1, Leys Road, CAMBRIDGE, CB4 2AP",0.129279,52.221383
